,id,player_fifa_api_id,player_api_id,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
113,113,158138,27316,4/28/2016 0:00,77,77,left,medium,medium,77,72,64,79,77,78,77,76,70,79,75,69,76,80,72,76,65,75,65,76,59,55,77,76,81,28,34,35,15,12,7,16,15
114,114,158138,27316,2/25/2016 0:00,77,77,left,medium,medium,77,72,64,79,77,78,77,76,70,79,75,69,76,80,72,76,65,75,65,76,59,55,77,76,81,28,34,35,15,12,7,16,15
115,115,158138,27316,9/25/2015 0:00,77,77,left,medium,medium,77,72,64,79,77,78,77,76,70,79,75,69,76,77,72,76,65,75,65,76,59,55,77,76,81,28,34,35,15,12,7,16,15
116,116,158138,27316,9/21/2015 0:00,77,77,left,medium,medium,77,72,64,79,77,78,77,76,70,79,75,69,76,77,72,76,65,75,65,76,59,55,77,76,81,28,34,35,15,12,7,16,15
117,117,158138,27316,9/4/2015 0:00,77,77,left,medium,medium,77,72,65,80,77,78,78,76,70,78,77,78,78,79,73,76,69,77,65,75,57,54,77,76,82,36,37,35,14,11,6,15,14
118,118,158138,27316,4/10/2015 0:00,77,78,left,medium,medium,77,72,65,80,77,78,78,76,70,78,77,78,78,79,73,76,69,77,65,75,57,54,77,76,82,36,37,35,14,11,6,15,14
119,119,158138,27316,1/16/2015 0:00,78,78,left,medium,medium,77,72,65,80,77,78,78,76,70,78,77,78,78,80,73,76,69,77,65,75,57,54,78,80,82,36,37,35,14,11,6,15,14
120,120,158138,27316,9/18/2014 0:00,78,78,left,medium,medium,77,72,65,80,77,78,78,76,70,78,77,78,78,80,73,76,69,77,66,75,57,54,78,80,82,36,37,35,14,11,6,15,14
121,121,158138,27316,4/18/2014 0:00,78,80,left,medium,medium,77,72,65,80,77,78,78,74,70,78,77,78,79,81,73,78,70,79,66,75,57,54,76,82,82,36,37,35,14,11,6,15,14
122,122,158138,27316,2/28/2014 0:00,79,81,left,medium,medium,77,73,66,80,77,80,78,74,70,78,77,78,79,81,73,78,70,79,66,77,57,54,77,82,82,36,37,35,14,11,6,15,14
123,123,158138,27316,2/14/2014 0:00,79,81,left,medium,medium,77,74,66,80,77,80,78,74,68,78,77,78,79,81,73,78,70,79,66,77,57,56,77,82,82,36,37,35,14,11,6,15,14
124,124,158138,27316,10/18/2013 0:00,79,81,left,medium,medium,77,74,66,80,77,80,78,74,68,78,77,78,79,81,73,78,70,79,66,77,57,56,77,82,82,36,37,35,14,11,6,15,14
125,125,158138,27316,9/20/2013 0:00,79,81,left,medium,medium,77,74,66,80,77,80,78,74,68,78,77,78,79,81,73,78,70,79,66,77,57,56,77,82,82,36,37,35,14,11,6,15,14
126,126,158138,27316,5/10/2013 0:00,79,81,left,medium,medium,77,71,66,80,77,79,77,73,68,78,77,74,79,78,72,76,70,79,66,78,55,57,77,82,82,30,30,32,14,11,6,15,14
127,127,158138,27316,4/19/2013 0:00,79,81,left,medium,medium,77,71,66,80,77,79,77,73,68,78,77,74,79,78,72,76,70,79,66,78,55,57,77,82,81,30,30,32,14,11,6,15,14
128,128,158138,27316,3/22/2013 0:00,79,81,left,medium,medium,77,71,66,80,77,79,77,73,68,78,77,75,79,78,72,76,70,78,66,78,55,57,77,82,76,30,30,32,14,11,6,15,14
129,129,158138,27316,2/15/2013 0:00,79,81,left,medium,medium,77,71,66,80,77,79,77,73,68,78,77,75,79,78,72,76,70,78,66,78,55,57,77,82,72,30,30,32,14,11,6,15,14
130,130,158138,27316,8/31/2012 0:00,75,78,left,medium,medium,75,69,66,75,77,79,77,70,64,76,77,77,79,74,72,76,70,68,66,73,55,57,71,76,68,30,27,29,14,11,6,15,14
131,131,158138,27316,2/22/2012 0:00,75,78,left,medium,medium,75,69,66,75,77,79,77,70,64,76,77,77,79,74,72,76,70,68,66,73,55,57,71,76,68,30,27,29,14,11,6,15,14
132,132,158138,27316,8/30/2011 0:00,75,78,left,medium,medium,75,69,66,75,77,79,77,70,64,75,77,77,79,74,72,76,70,72,66,73,55,57,71,76,68,30,27,29,14,11,6,15,14
133,133,158138,27316,2/22/2011 0:00,76,83,left,medium,medium,75,74,66,77,77,79,79,57,64,77,82,81,79,76,67,76,70,74,68,73,51,57,74,79,67,30,27,29,14,11,6,15,14
134,134,158138,27316,8/30/2010 0:00,78,83,left,medium,medium,76,77,66,79,80,81,79,57,64,79,82,81,79,77,67,77,70,74,68,73,51,57,74,83,67,30,27,29,14,11,6,15,14
135,135,158138,27316,2/22/2010 0:00,78,83,left,medium,medium,75,77,66,78,80,82,79,57,63,81,82,81,79,77,67,77,70,74,68,73,51,70,75,83,73,30,27,29,9,20,63,20,20
136,136,158138,27316,8/30/2009 0:00,75,82,left,medium,medium,63,77,66,76,80,80,79,48,48,79,77,74,79,75,67,77,70,69,66,72,49,67,73,83,68,30,25,29,9,20,48,20,20
137,137,158138,27316,8/30/2008 0:00,76,86,left,medium,medium,63,79,66,76,80,80,79,48,48,79,77,74,79,75,67,77,70,69,66,72,49,67,73,83,68,30,25,29,9,20,48,20,20
